team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
MIA,17,18,661,14,90,661,88.8,126,22
ATL,2,17,600,25,84,600,87.4,130,21
JAX,15,17,710,24,117,710,87.1,162,21
DAL,9,18,758,35,115,758,87.1,173,23
IND,14,17,644,18,127,644,86.4,160,15
BUF,4,19,730,23,149,730,86.4,185,13
LV,23,17,607,26,92,607,86.3,142,24
DEN,10,17,603,22,116,603,85.9,154,16
BLT,3,19,680,21,129,680,85.6,173,23
GB,12,19,689,24,140,689,85.5,182,18
NO,20,17,653,22,120,653,85.3,167,25
HST,13,19,716,24,148,716,85.1,193,21
DET,11,20,759,48,147,759,84.7,214,19
KC,16,21,886,47,186,886,84.5,254,21
TB,30,19,730,24,151,730,84.3,202,27
PHI,24,18,691,16,168,691,84.2,201,17
MIN,18,17,708,57,120,708,84.0,202,25
LAC,27,17,719,39,138,719,83.9,204,27
LA,26,18,676,42,137,676,83.9,198,19
CIN,7,17,695,33,134,695,83.7,197,30
ARZ,1,17,634,31,123,634,83.4,182,28
CLV,8,18,746,34,158,746,83.4,220,28
SF,28,20,670,31,166,670,82.6,215,18
PIT,25,18,608,31,150,608,82.0,200,19
WAS,32,17,738,35,166,738,81.9,234,33
CHI,6,17,618,28,163,618,81.1,212,21
SEA,29,17,635,32,169,635,79.8,229,28
NE,19,17,626,27,156,626,79.8,218,35
CAR,5,17,684,29,174,684,79.8,240,37
NYG,21,17,665,20,184,665,78.6,244,40
NYJ,22,17,692,41,171,692,77.9,259,47
TEN,31,17,577,55,141,577,74.5,245,49
