Player,Pos,PrevTeam,Age,OFF,PASS,RUN,Snaps%,SalaryPY
Malik Willis,QB,Packers,27,92.3,90.8,80.3,9,1290025
Mitch Trubisky,QB,Bills,32,79.9,77.7,66.6,8,2625000
Tyler Huntley,QB,Ravens,28,79.5,68.8,87.7,19,1170000
Kyle Allen,QB,Lions,30,73.7,73,60.5,1,1270000
Daniel Jones,QB,Colts,29,71.7,68.7,73.7,70,14000000
Marcus Mariota,QB,Commanders,33,71.4,72.3,55.8,48,8000000
Joe Flacco,QB,Bengals,41,68.3,67.1,76.1,62,4250000
Aaron Rodgers,QB,Steelers,43,68,68.8,42.7,89,13650000
Russell Wilson,QB,Giants,38,63.3,63.5,56.5,19,10500000
Tyrod Taylor,QB,Jets,37,60.2,57.6,65.9,24,6000000
Josh Johnson,QB,Commanders,40,52.9,55.4,47.3,13,1422500
Philip Rivers,QB,Colts,45,51,50.5,59.6,16,1255000
Carson Wentz,QB,Vikings,34,50.4,50,62.7,30,1422500
Zach Wilson,QB,Dolphins,27,49.1,49.1,57.9,2,6000000
Kenny Pickett,QB,Raiders,28,48.4,47.3,60.4,8,3516976
Teddy Bridgewater,QB,Buccaneers,34,43.8,44,57.5,3,1255000
Brandon Allen,QB,Titans,34,36.4,37.1,null,4,1422500
Trey Lance,QB,Chargers,26,36,31.3,66.5,8,2000000
Gardner Minshew,QB,Chiefs,30,33.4,33.6,58.3,3,1170000
