Player,Pos,PrevTeam,Age,OFF,RUN,PBLK,RBLK,Snaps%,SalaryPY
Kenneth Walker III,RB,Seahawks,26,90.7,91.1,35.9,58,46,2110395
Breece Hall,RB,Jets,25,83.5,83.7,45.8,68.2,61,2253692
Najee Harris,RB,Chargers,28,81.4,83.9,26.2,60,3,5250000
Rachaad White,RB,Buccaneers,27,80.9,87.2,58.2,62.9,50,1282500
Ronnie Rivers,RB,Rams,27,80.2,77.4,null,60,1,1100000
J.K. Dobbins,RB,Broncos,28,76.8,80.8,60.3,47.7,29,2065000
Javonte Williams,RB,Cowboys,26,75.3,81.7,66.5,56.9,64,3000000
Kenneth Gainwell,RB,Steelers,27,72.6,74.6,69.3,56.6,50,1790000
Reggie Gilliam,FB,Bills,29,72.4,61.3,89.5,75.1,20,2000000
Kareem Hunt,RB,Chiefs,31,72.2,78.3,63.6,57.2,47,1500000
Nick Chubb,RB,Texans,31,72.1,76.4,45.5,60,28,2500000
Tyler Allgeier,RB,Falcons,26,71.5,72.2,70.7,52.2,29,998472
Michael Carter,RB,Cardinals,27,71.2,71.2,66.1,71.3,34,1170000
Ameer Abdullah,RB,Colts,33,70.5,66.1,44.2,56.3,8,1255000
Patrick Ricard,FB,Ravens,32,68.6,65.6,51.2,70.4,27,2872500
Jeremy McNichols,RB,Commanders,31,66.7,77.3,57.4,67.9,32,1337500
Miles Sanders,RB,Cowboys,29,66.7,65.9,36.8,60,5,1337500
Kene Nwangwu,RB,Jets,28,63.6,70,6.1,60,2,1500000
Rico Dowdle,RB,Panthers,28,63.5,70.7,24.6,43.4,55,2750000
Ty Chandler,RB,Vikings,28,61.8,59.8,66,60,4,989711
Khalil Herbert,RB,Jets,28,61.8,67.3,77,60,4,1170000
C.J. Ham,FB,Vikings,33,61.4,69.2,72.5,57.1,18,2800000
Julius Chestnut,RB,Titans,26,60.8,71.1,26.3,40.4,3,1100000
Trayveon Williams,RB,Browns,29,59.7,58,50.1,60,7,1170000
Isiah Pacheco,RB,Chiefs,27,58.6,67.4,67.2,60.7,38,934777
Hassan Haskins,RB,Chargers,27,58.5,58.4,44.2,71.6,7,1088052
Raheem Mostert,RB,Raiders,34,56.9,52.4,45.9,60,13,1600000
Austin Ekeler,RB,Commanders,31,56.2,56.6,67,58.8,6,4215000
Jerome Ford,RB,Browns,27,55.4,59.5,52.9,60,24,1750000
D'Ernest Johnson,RB,Patriots,30,53.3,58.8,22.5,60,4,1170000
Travis Homer,RB,Bears,28,52.8,56.7,75,null,0,1750000
Zamir White,RB,Raiders,27,51.6,48.8,57.7,60,6,1100981
Adam Prentice,FB,Broncos,29,51.2,58.3,85.7,44,18,1170000
Dare Ogunbowale,RB,Texans,32,48.6,49.7,52.5,null,11,1800000
DeeJay Dallas,RB,Jaguars,28,44.1,62.2,22.8,60,2,1170000
Dameon Pierce,RB,Chiefs,26,36.6,51.6,7.1,60,2,1100000
